,False: dropped,ranking
mean_acc_X,False,83
mean_acc_Y,False,73
mean_acc_Z,False,91
mean_gyro_X,False,21
mean_gyro_Y,True,1
mean_gyro_Z,True,1
mean_acc_xyz,False,71
max_acc_X,True,1
max_acc_Y,False,62
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,False,7
min_acc_X,False,95
min_acc_Y,False,90
min_acc_Z,False,41
min_gyro_X,False,13
min_gyro_Y,False,27
min_gyro_Z,True,1
min_acc_xyz,True,1
var_acc_X,True,1
var_acc_Y,False,42
var_acc_Z,True,1
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
var_acc_xyz,False,8
median_acc_X,False,59
median_acc_Y,False,84
median_acc_Z,False,39
median_gyro_X,True,1
median_gyro_Y,False,6
median_gyro_Z,True,1
median_acc_xyz,False,53
per25_acc_X,False,94
per25_acc_Y,False,86
per25_acc_Z,False,85
per25_gyro_X,False,52
per25_gyro_Y,False,55
per25_gyro_Z,True,1
per25_acc_xyz,True,1
per75_acc_X,False,16
per75_acc_Y,False,70
per75_acc_Z,False,18
per75_gyro_X,True,1
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per75_acc_xyz,False,36
per_range_acc_X,True,1
per_range_acc_Y,False,9
per_range_acc_Z,False,47
per_range_gyro_X,True,1
per_range_gyro_Y,False,54
per_range_gyro_Z,True,1
per_range_acc_xyz,False,17
RMS_acc_X,False,66
RMS_acc_Y,False,81
RMS_acc_Z,False,89
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,False,67
PB0-5acc_X,False,72
PB5-10acc_X,True,1
PB10-15acc_X,True,1
PB15-20acc_X,False,75
PB20-25acc_X,False,92
PB25-30acc_X,False,93
PB30-35acc_X,False,38
PB35-40acc_X,False,15
PB40-45acc_X,False,101
PB45-50acc_X,False,58
PB0-5acc_Y,False,96
PB5-10acc_Y,False,29
PB10-15acc_Y,False,32
PB15-20acc_Y,False,88
PB20-25acc_Y,True,1
PB25-30acc_Y,False,56
PB30-35acc_Y,False,31
PB35-40acc_Y,False,30
PB40-45acc_Y,False,26
PB45-50acc_Y,True,1
PB0-5acc_Z,False,69
PB5-10acc_Z,True,1
PB10-15acc_Z,False,82
PB15-20acc_Z,False,65
PB20-25acc_Z,False,45
PB25-30acc_Z,False,34
PB30-35acc_Z,False,64
PB35-40acc_Z,False,19
PB40-45acc_Z,False,60
PB45-50acc_Z,False,57
PB0-5gyro_X,False,3
PB5-10gyro_X,True,1
PB10-15gyro_X,False,22
PB15-20gyro_X,False,2
PB20-25gyro_X,False,33
PB25-30gyro_X,False,4
PB30-35gyro_X,False,43
PB35-40gyro_X,False,78
PB40-45gyro_X,False,80
PB45-50gyro_X,True,1
PB0-5gyro_Y,False,40
PB5-10gyro_Y,True,1
PB10-15gyro_Y,False,12
PB15-20gyro_Y,False,68
PB20-25gyro_Y,True,1
PB25-30gyro_Y,False,49
PB30-35gyro_Y,True,1
PB35-40gyro_Y,False,77
PB40-45gyro_Y,True,1
PB45-50gyro_Y,False,79
PB0-5gyro_Z,True,1
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,False,35
PB25-30gyro_Z,True,1
PB30-35gyro_Z,True,1
PB35-40gyro_Z,False,25
PB40-45gyro_Z,False,24
PB45-50gyro_Z,True,1
PB0-5acc_xyz,False,48
PB5-10acc_xyz,False,61
PB10-15acc_xyz,False,50
PB15-20acc_xyz,False,76
PB20-25acc_xyz,False,99
PB25-30acc_xyz,False,37
PB30-35acc_xyz,False,98
PB35-40acc_xyz,False,63
PB40-45acc_xyz,False,87
PB45-50acc_xyz,True,1
FE_acc_X,False,20
FE_acc_Y,False,11
FE_acc_Z,True,1
FE_gyro_X,True,1
FE_gyro_Y,True,1
FE_gyro_Z,False,5
FE_acc_xyz,False,44
En_acc_X,True,1
En_acc_Y,False,46
En_acc_Z,False,14
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,False,51
DC_acc_X,False,23
DC_acc_Y,False,100
DC_acc_Z,False,97
DC_gyro_X,False,28
DC_gyro_Y,False,10
DC_gyro_Z,True,1
DC_acc_xyz,False,74
