C:\Users\perun\anaconda3\envs\BLE\python.exe C:/Users/perun/PycharmProjects/RealTime_System/Execution_folder/main_Realtime.py
実験番号：1
eSenseの番号[1-8]：1
サーバ通信[y/n]：n
00:04:79:00:0C:94: eSense-0220
start!
C:\Users\perun\PycharmProjects\RealTime_System\head_nod_analysis\add_data.py:88: FutureWarning: is_connected has been changed to a property. Calling it as an async method will be removed in a future version
  x = await client.is_connected()
Connected: True
1641452040.283777 ['0'] 0
1641452041.1265352 ['0'] 0
1641452041.9554625 ['0'] 0
1641452042.806272 ['0'] 0
1641452043.7513034 ['0'] 0
1641452044.591183 ['0'] 0
1641452045.4628527 ['0'] 0
1641452046.3181767 ['0'] 0
1641452047.145268 ['0'] 0
1641452047.9990437 ['0'] 0
1111111111641452048.9976566 ['0'] 1
111111111111111111111111111111641452049.9447086 ['0'] 1
111111111111111111111111111641452050.7960718 ['1'] 1
1111111111111111111111111641452051.692702 ['1'] 1
1641452052.4662497 ['1'] 1
1641452053.3060074 ['1'] 0
1641452054.2515597 ['0'] 0
1641452055.1048648 ['0'] 0
1641452055.9735174 ['0'] 0
1641452056.8307593 ['0'] 0
1641452057.647575 ['0'] 0
1641452058.568624 ['0'] 0
1111111111111111641452059.6081328 ['0'] 1
111111111111111111111111641452060.360681 ['1'] 1
1111111111111111111111111111111641452061.359656 ['1'] 1
111641452062.1257217 ['1'] 1
1641452062.9663017 ['1'] 0
1641452063.8060315 ['0'] 0
1641452064.6463904 ['0'] 0
1641452065.4801905 ['0'] 0
1111111111111641452066.3962898 ['0'] 1
11111111111111111111111111641452067.2142785 ['0'] 1
111111111111111111111111111111641452068.1787271 ['1'] 1
111111111111111111111111641452069.034 ['1'] 1
1641452069.685364 ['1'] 1
1641452070.5267267 ['1'] 0
1641452071.3904452 ['0'] 0
1641452072.2646914 ['0'] 0
11641452073.104247 ['0'] 0
1111111111111111111111111111111641452074.129514 ['0'] 1
1111111111111111111111111641452074.9359422 ['1'] 1
11111111111111111111111111641452075.7639034 ['1'] 1
1641452076.441678 ['1'] 1
1641452077.2929914 ['1'] 0
1641452078.1098337 ['0'] 0
1641452078.9664989 ['0'] 0
1641452079.8182132 ['0'] 0
111111641452080.645437 ['0'] 1
111111111111111111111111111111641452081.6214156 ['0'] 1
111111111111641452082.3311076 ['1'] 1
1641452083.1608887 ['1'] 1
1641452084.014193 ['0'] 0
1641452084.8481078 ['0'] 0
1641452085.7632186 ['0'] 0
11641452086.5907032 ['0'] 0
1111111111111111111111111641452087.436998 ['0'] 1
111111111111111111111641452088.3807137 ['1'] 1
1641452089.1287422 ['1'] 1
1641452089.9509988 ['0'] 0
1641452090.8033354 ['0'] 0
1641452091.6381037 ['0'] 0
1111111111111641452092.543762 ['0'] 1
1111111111111111111111111111111111641452093.6046433 ['0'] 1
111111111641452094.255994 ['1'] 1
1641452095.1027575 ['1'] 1
1641452095.927135 ['0'] 0
1641452096.7824345 ['0'] 0
11641452097.6162052 ['0'] 0
111111111111111111641452098.5614707 ['0'] 1
111111111111111111111111111641452099.415694 ['1'] 1
1111111641452100.1789596 ['1'] 1
1641452101.0097926 ['1'] 0
1641452101.863537 ['0'] 0
11641452102.7667732 ['0'] 0
11111111111111111111641452103.703826 ['0'] 1
111111111111111111111111111641452104.5771673 ['1'] 1
1641452105.321178 ['1'] 1
1641452106.1755319 ['1'] 0
1641452107.0093062 ['0'] 0
1641452107.9064922 ['0'] 0
111641452108.7469423 ['0'] 0
1111111111111111111111111111111641452109.7512844 ['1'] 1
111111111111111111641452110.5172915 ['1'] 1
1641452111.2653232 ['1'] 1
1641452112.1116421 ['1'] 0
1641452112.9461572 ['0'] 0
1641452113.7679338 ['0'] 0
