,False: dropped,featureImportances
mean_acc_X,False,0.001151313590940938
mean_acc_Y,False,0.0012690635771684102
mean_acc_Z,False,0.0013998278681605278
mean_gyro_X,False,0.0025165546710597055
mean_gyro_Y,False,0.002639255145655803
mean_gyro_Z,True,0.015086405962196956
mean_acc_xyz,False,0.0013479747672966928
max_acc_X,False,0.0039515555314994285
max_acc_Y,False,0.0015519470322139747
max_acc_Z,False,0.0020244812944578325
max_gyro_X,True,0.029269429301564447
max_gyro_Y,True,0.01758117267467395
max_gyro_Z,True,0.05235504697129789
max_acc_xyz,False,0.005399135140811153
min_acc_X,False,0.0009761264435206399
min_acc_Y,False,0.0017257785181597257
min_acc_Z,False,0.00048806706041640144
min_gyro_X,False,0.0025982877471519305
min_gyro_Y,False,0.0009785595759819702
min_gyro_Z,True,0.015027196262901698
min_acc_xyz,True,0.01526884735174152
var_acc_X,False,0.00324648477572971
var_acc_Y,False,0.0019429385027010407
var_acc_Z,False,0.00108896996751731
var_gyro_X,True,0.027050874586038984
var_gyro_Y,True,0.047285549922759657
var_gyro_Z,True,0.02800304250763037
var_acc_xyz,False,0.002820410598254373
median_acc_X,False,0.0015110802151961668
median_acc_Y,False,0.0005494446469955645
median_acc_Z,False,0.0012313512325951013
median_gyro_X,False,0.0022946298240984512
median_gyro_Y,False,0.0025719074140785757
median_gyro_Z,True,0.014276785403005008
median_acc_xyz,False,0.0008804691513429992
per25_acc_X,False,0.0013245377112279795
per25_acc_Y,False,0.0008287676618263557
per25_acc_Z,False,0.001409641586802047
per25_gyro_X,False,0.002943263355806043
per25_gyro_Y,False,0.0011226781114056501
per25_gyro_Z,True,0.01229899603209645
per25_acc_xyz,False,0.0025842873251909018
per75_acc_X,False,0.0013890202980524615
per75_acc_Y,False,0.0010823262385814376
per75_acc_Z,False,0.0018337413042544847
per75_gyro_X,False,0.0014905024582242525
per75_gyro_Y,True,0.016022934695507182
per75_gyro_Z,True,0.03953351504366279
per75_acc_xyz,False,0.0007077615970935556
per_range_acc_X,False,0.002029503771993127
per_range_acc_Y,False,0.002288018023989323
per_range_acc_Z,False,0.0009341349730741369
per_range_gyro_X,True,0.013551390090982949
per_range_gyro_Y,False,0.003626315138886968
per_range_gyro_Z,True,0.01995207319309415
per_range_acc_xyz,False,0.0007857084939955192
