,False: dropped,ranking
mean_acc_X,False,32
mean_acc_Y,False,42
mean_acc_Z,False,54
mean_acc_xyz,False,4
max_acc_X,True,1
max_acc_Y,True,1
max_acc_Z,True,1
max_acc_xyz,True,1
min_acc_X,False,5
min_acc_Y,True,1
min_acc_Z,False,22
min_acc_xyz,True,1
var_acc_X,True,1
var_acc_Y,True,1
var_acc_Z,True,1
var_acc_xyz,True,1
median_acc_X,False,17
median_acc_Y,False,50
median_acc_Z,False,49
median_acc_xyz,False,18
per25_acc_X,False,34
per25_acc_Y,True,1
per25_acc_Z,False,53
per25_acc_xyz,True,1
per75_acc_X,True,1
per75_acc_Y,False,48
per75_acc_Z,False,41
per75_acc_xyz,False,7
per_range_acc_X,True,1
per_range_acc_Y,True,1
per_range_acc_Z,True,1
per_range_acc_xyz,True,1
RMS_acc_X,False,16
RMS_acc_Y,False,39
RMS_acc_Z,False,47
RMS_acc_xyz,False,26
coef_acc_xy,True,1
coef_acc_xz,True,1
coef_acc_yz,False,2
PB0-5acc_X,False,44
PB5-10acc_X,True,1
PB10-15acc_X,True,1
PB15-20acc_X,False,38
PB20-25acc_X,False,27
PB25-30acc_X,False,51
PB30-35acc_X,False,31
PB35-40acc_X,False,8
PB40-45acc_X,False,36
PB45-50acc_X,False,45
PB0-5acc_Y,False,33
PB5-10acc_Y,True,1
PB10-15acc_Y,True,1
PB15-20acc_Y,False,30
PB20-25acc_Y,False,3
PB25-30acc_Y,False,14
PB30-35acc_Y,False,15
PB35-40acc_Y,False,21
PB40-45acc_Y,True,1
PB45-50acc_Y,True,1
PB0-5acc_Z,False,43
PB5-10acc_Z,True,1
PB10-15acc_Z,False,11
PB15-20acc_Z,False,23
PB20-25acc_Z,False,12
PB25-30acc_Z,False,28
PB30-35acc_Z,False,13
PB35-40acc_Z,False,25
PB40-45acc_Z,False,6
PB45-50acc_Z,False,46
PB0-5acc_xyz,True,1
PB5-10acc_xyz,True,1
PB10-15acc_xyz,True,1
PB15-20acc_xyz,False,9
PB20-25acc_xyz,False,29
PB25-30acc_xyz,False,52
PB30-35acc_xyz,False,37
PB35-40acc_xyz,False,40
PB40-45acc_xyz,False,35
PB45-50acc_xyz,False,20
FE_acc_X,False,24
FE_acc_Y,True,1
FE_acc_Z,False,19
FE_acc_xyz,False,10
En_acc_X,True,1
En_acc_Y,True,1
En_acc_Z,True,1
En_acc_xyz,True,1
