,False: dropped,ranking
mean_acc_X,False,46
mean_acc_Y,False,75
mean_acc_Z,False,43
mean_gyro_X,True,1
mean_gyro_Y,True,1
mean_gyro_Z,True,1
mean_acc_xyz,False,13
max_acc_X,True,1
max_acc_Y,False,36
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,True,1
min_acc_Z,True,1
min_gyro_X,True,1
min_gyro_Y,True,1
min_gyro_Z,True,1
min_acc_xyz,True,1
var_acc_X,True,1
var_acc_Y,False,4
var_acc_Z,False,2
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
var_acc_xyz,False,6
median_acc_X,False,61
median_acc_Y,False,67
median_acc_Z,False,22
median_gyro_X,True,1
median_gyro_Y,False,8
median_gyro_Z,True,1
median_acc_xyz,False,74
per25_acc_X,False,60
per25_acc_Y,False,10
per25_acc_Z,False,34
per25_gyro_X,True,1
per25_gyro_Y,False,44
per25_gyro_Z,True,1
per25_acc_xyz,True,1
per75_acc_X,False,30
per75_acc_Y,False,64
per75_acc_Z,True,1
per75_gyro_X,False,50
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per75_acc_xyz,False,15
per_range_acc_X,True,1
per_range_acc_Y,False,7
per_range_acc_Z,True,1
per_range_gyro_X,True,1
per_range_gyro_Y,True,1
per_range_gyro_Z,True,1
per_range_acc_xyz,True,1
RMS_acc_X,False,55
RMS_acc_Y,False,47
RMS_acc_Z,False,53
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,False,12
coef_acc_xy,True,1
coef_acc_xz,True,1
coef_acc_yz,True,1
coef_gyro_xy,True,1
coef_gyro_xz,True,1
coef_gyro_yz,True,1
PB0-5acc_X,False,71
PB5-10acc_X,True,1
PB10-15acc_X,True,1
PB15-20acc_X,False,33
PB20-25acc_X,False,42
PB25-30acc_X,False,68
PB30-35acc_X,False,69
PB35-40acc_X,False,65
PB40-45acc_X,False,58
PB45-50acc_X,False,29
PB0-5acc_Y,False,72
PB5-10acc_Y,False,56
PB10-15acc_Y,True,1
PB15-20acc_Y,False,63
PB20-25acc_Y,False,31
PB25-30acc_Y,True,1
PB30-35acc_Y,False,21
PB35-40acc_Y,False,62
PB40-45acc_Y,True,1
PB45-50acc_Y,True,1
PB0-5acc_Z,False,39
PB5-10acc_Z,True,1
PB10-15acc_Z,True,1
PB15-20acc_Z,False,26
PB20-25acc_Z,False,70
PB25-30acc_Z,True,1
PB30-35acc_Z,False,20
PB35-40acc_Z,False,73
PB40-45acc_Z,False,57
PB45-50acc_Z,True,1
PB0-5gyro_X,True,1
PB5-10gyro_X,True,1
PB10-15gyro_X,False,3
PB15-20gyro_X,True,1
PB20-25gyro_X,False,25
PB25-30gyro_X,True,1
PB30-35gyro_X,False,24
PB35-40gyro_X,False,17
PB40-45gyro_X,False,59
PB45-50gyro_X,True,1
PB0-5gyro_Y,True,1
PB5-10gyro_Y,True,1
PB10-15gyro_Y,False,48
PB15-20gyro_Y,True,1
PB20-25gyro_Y,True,1
PB25-30gyro_Y,True,1
PB30-35gyro_Y,True,1
PB35-40gyro_Y,False,18
PB40-45gyro_Y,True,1
PB45-50gyro_Y,False,40
PB0-5gyro_Z,True,1
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,True,1
PB25-30gyro_Z,True,1
PB30-35gyro_Z,True,1
PB35-40gyro_Z,True,1
PB40-45gyro_Z,True,1
PB45-50gyro_Z,False,5
PB0-5acc_xyz,False,37
PB5-10acc_xyz,False,16
PB10-15acc_xyz,False,41
PB15-20acc_xyz,False,38
PB20-25acc_xyz,False,28
PB25-30acc_xyz,False,54
PB30-35acc_xyz,False,66
PB35-40acc_xyz,False,32
PB40-45acc_xyz,False,51
PB45-50acc_xyz,False,35
FE_acc_X,True,1
FE_acc_Y,True,1
FE_acc_Z,False,14
FE_gyro_X,True,1
FE_gyro_Y,True,1
FE_gyro_Z,True,1
FE_acc_xyz,False,27
En_acc_X,True,1
En_acc_Y,False,11
En_acc_Z,False,23
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,True,1
DC_acc_X,False,49
DC_acc_Y,False,45
DC_acc_Z,False,9
DC_gyro_X,False,19
DC_gyro_Y,True,1
DC_gyro_Z,True,1
DC_acc_xyz,False,52
