,imp,col
3,0.08250757444105618,max_gyro_Z
2,0.06869038566700705,max_gyro_Y
32,0.06648640763288666,En_gyro_Z
8,0.06155934021398187,var_gyro_Z
7,0.059009979480385964,var_gyro_Y
1,0.055597971996046325,max_gyro_X
6,0.05462030073622056,var_gyro_X
12,0.04325339689110478,per75_gyro_Z
17,0.038914898087985934,RMS_gyro_Z
15,0.038287163144169196,RMS_gyro_X
18,0.0364765693109345,coef_gyro_xy
16,0.03576991327594044,RMS_gyro_Y
0,0.034460195131565785,mean_gyro_Z
30,0.03379897922374212,En_gyro_X
14,0.026924763102727116,per_range_gyro_Z
9,0.02497085794106388,median_gyro_Z
31,0.023323984569603353,En_gyro_Y
27,0.02154450244322635,PB30-35gyro_Z
24,0.02048064872314368,PB5-10gyro_Z
21,0.019889890948751078,PB5-10gyro_X
13,0.017112229098098654,per_range_gyro_X
28,0.016997336370831884,PB5-10acc_xyz
23,0.015300172227966518,PB5-10gyro_Y
5,0.014389507532467424,min_acc_xyz
10,0.014106151528289243,per25_gyro_Z
26,0.01409923864872642,PB20-25gyro_Z
4,0.012656006265896557,min_gyro_Z
11,0.009614698398268177,per75_gyro_Y
19,0.0087781474624671,PB5-10acc_X
22,0.00858712539288904,PB45-50gyro_X
25,0.007853219659521442,PB10-15gyro_Z
29,0.007121901751076701,En_acc_Z
20,0.0068165427019580265,PB5-10acc_Z
