,False: dropped,featureImportances
mean_acc_X,True,0.012012917495498687
mean_acc_Y,False,0.007410473758263526
mean_acc_Z,False,0.006539716343623925
mean_acc_xyz,False,0.009663631844271575
max_acc_X,False,0.009555266977417437
max_acc_Y,False,0.009730782687914741
max_acc_Z,False,0.009449004350987866
max_acc_xyz,True,0.02648075608473511
min_acc_X,True,0.01844254859854339
min_acc_Y,True,0.010264067833538693
min_acc_Z,False,0.008544169813544802
min_acc_xyz,False,0.009440488894028171
var_acc_X,True,0.02265249977150961
var_acc_Y,True,0.03281886494958267
var_acc_Z,False,0.008746157356039027
var_acc_xyz,True,0.026136223869409426
median_acc_X,True,0.012708251846091433
median_acc_Y,False,0.008498256278244937
median_acc_Z,False,0.007459020455993127
median_acc_xyz,False,0.007371353173468921
per25_acc_X,True,0.017642406866331325
per25_acc_Y,False,0.005895610200329386
per25_acc_Z,False,0.006952560497803676
per25_acc_xyz,True,0.01160707938929487
per75_acc_X,True,0.010541852209446832
per75_acc_Y,True,0.010403806855333257
per75_acc_Z,False,0.009358885148073053
per75_acc_xyz,True,0.015596350412849132
per_range_acc_X,True,0.011169150526988554
per_range_acc_Y,True,0.026013734021517354
per_range_acc_Z,True,0.012252784347812516
per_range_acc_xyz,True,0.019902435256444948
RMS_acc_X,True,0.012819429815554794
RMS_acc_Y,False,0.007368534944102795
RMS_acc_Z,False,0.005396955171520646
RMS_acc_xyz,True,0.012188843897287914
coef_acc_xy,True,0.018015353253779808
coef_acc_xz,False,0.008544691786821842
coef_acc_yz,False,0.009933038188688006
PB0-5acc_X,True,0.012172280048732328
PB5-10acc_X,True,0.011515601438754476
PB10-15acc_X,True,0.022599977937776412
PB15-20acc_X,True,0.011453214174063397
PB20-25acc_X,True,0.011491746710302163
PB25-30acc_X,False,0.005257222090890874
PB30-35acc_X,False,0.0062671177235374366
PB35-40acc_X,False,0.005210753315758738
PB40-45acc_X,True,0.03261218394604468
PB45-50acc_X,False,0.006793209408836976
PB0-5acc_Y,False,0.008997502831832054
PB5-10acc_Y,False,0.009845664004803883
PB10-15acc_Y,True,0.03494586255747675
PB15-20acc_Y,True,0.015232512667337151
PB20-25acc_Y,True,0.021410603620620524
PB25-30acc_Y,False,0.0049390968331366174
PB30-35acc_Y,True,0.010790722543643026
PB35-40acc_Y,False,0.005158321560031172
PB40-45acc_Y,True,0.01631222324762189
PB45-50acc_Y,False,0.005523395485241719
PB0-5acc_Z,False,0.00751210602244744
PB5-10acc_Z,False,0.006113322899628478
PB10-15acc_Z,False,0.00765323188263819
PB15-20acc_Z,True,0.011654472794966604
PB20-25acc_Z,False,0.00824207730986697
PB25-30acc_Z,False,0.0053424391448579946
PB30-35acc_Z,False,0.0049155782551082985
PB35-40acc_Z,False,0.004722314376598287
PB40-45acc_Z,False,0.006262892041892886
PB45-50acc_Z,False,0.005091380069531064
PB0-5acc_xyz,True,0.013975205304400832
PB5-10acc_xyz,False,0.009158613096979901
PB10-15acc_xyz,False,0.009213971900904
PB15-20acc_xyz,False,0.006002566299667178
PB20-25acc_xyz,False,0.005942751630305071
PB25-30acc_xyz,False,0.004090878215492188
PB30-35acc_xyz,False,0.005784639525607091
PB35-40acc_xyz,False,0.0045635403808426565
PB40-45acc_xyz,False,0.006040392182379008
PB45-50acc_xyz,False,0.005517258880747843
FE_acc_X,False,0.006407607586168651
FE_acc_Y,False,0.007385698570701759
FE_acc_Z,False,0.005915606567812746
FE_acc_xyz,False,0.00605598584615085
En_acc_X,True,0.03336857693422415
En_acc_Y,True,0.024969260026754096
En_acc_Z,False,0.008609051735551453
En_acc_xyz,True,0.015431413198644293
