,imp,col
12,0.0607426864476326,max_gyro_Z
61,0.04854881418276461,RMS_gyro_Z
25,0.04854825947769545,var_gyro_Y
120,0.04198098312102942,PB5-10gyro_Z
47,0.03945854950814504,per75_gyro_Z
24,0.033066589575644505,var_gyro_X
59,0.03278519004291948,RMS_gyro_X
151,0.030525136860020997,En_gyro_Z
26,0.029257502847977884,var_gyro_Z
90,0.029216336485875294,PB5-10acc_Z
60,0.02876627298271215,RMS_gyro_Y
10,0.02651575084590792,max_gyro_X
66,0.026322616437408224,coef_gyro_xy
110,0.02479742359568914,PB5-10gyro_Y
149,0.021501592894525343,En_gyro_X
54,0.021313979006964794,per_range_gyro_Z
52,0.02068115989420806,per_range_gyro_X
11,0.01885250703907084,max_gyro_Y
5,0.017515293407873146,mean_gyro_Z
123,0.01589045654416526,PB20-25gyro_Z
150,0.01533784484340113,En_gyro_Y
148,0.014805335596349842,En_acc_Z
121,0.014405634743504226,PB10-15gyro_Z
19,0.014082328715698006,min_gyro_Z
46,0.013584654599921244,per75_gyro_Y
33,0.013036081387649978,median_gyro_Z
70,0.012656005591384207,PB5-10acc_X
130,0.01100095512437217,PB5-10acc_xyz
40,0.010983620517359259,per25_gyro_Z
20,0.010761568755032242,min_acc_xyz
125,0.01036893498487181,PB30-35gyro_Z
126,0.007526117589031907,PB35-40gyro_Z
7,0.006925112130868572,max_acc_X
100,0.006414791853658742,PB5-10gyro_X
108,0.005674246728407888,PB45-50gyro_X
67,0.00566557725576754,coef_gyro_xz
115,0.004340583030055594,PB30-35gyro_Y
117,0.00415788779347155,PB40-45gyro_Y
113,0.0041178944388466625,PB20-25gyro_Y
4,0.003787359081144233,mean_gyro_Y
146,0.0033420028892377114,En_acc_X
109,0.00310469718007821,PB0-5gyro_Y
111,0.003074781279921524,PB10-15gyro_Y
17,0.003071733836834603,min_gyro_X
71,0.003059825501459508,PB10-15acc_X
127,0.003053744167000209,PB40-45gyro_Z
116,0.003049178768969515,PB35-40gyro_Y
118,0.0030128014825649787,PB45-50gyro_Y
21,0.002981958997240052,var_acc_X
68,0.002961700642819722,coef_gyro_yz
142,0.0028402214009289077,FE_gyro_X
23,0.002748514169647904,var_acc_Z
