,imp,col
10,0.08614539197879102,per25_gyro_X
11,0.058515576237618695,per25_gyro_Y
3,0.04959098721578737,max_gyro_Z
17,0.04796741582044357,per_range_gyro_Z
8,0.047300200843235114,var_gyro_Z
16,0.04540246591590204,per_range_gyro_Y
7,0.036258128251174956,var_gyro_Y
5,0.03482758521858813,min_gyro_Y
34,0.0331523216907646,En_gyro_Y
22,0.03296655977018649,coef_gyro_yz
29,0.029745768021298524,PB10-15gyro_Z
4,0.029113892958570746,min_gyro_X
19,0.028914817103906122,RMS_gyro_Z
28,0.028439073186643328,PB20-25gyro_Y
35,0.027312281415205607,En_gyro_Z
14,0.02644710781669447,per75_gyro_Z
0,0.023563569251383372,mean_gyro_X
15,0.023401486749731644,per_range_gyro_X
12,0.022521323902589978,per25_gyro_Z
21,0.02139353455781322,coef_gyro_xz
24,0.02133454655711257,PB20-25gyro_X
25,0.0202956146223185,PB40-45gyro_X
23,0.020151045157189663,PB10-15gyro_X
1,0.01983520119629483,max_gyro_X
20,0.019645371399045923,coef_gyro_xy
9,0.019490711900824763,median_gyro_X
6,0.0176706606473778,min_gyro_Z
18,0.01732889753990935,RMS_gyro_Y
13,0.016052616556340875,per75_gyro_X
33,0.015588380097794636,En_gyro_X
27,0.01421359296307884,PB10-15gyro_Y
2,0.014159104376814332,max_gyro_Y
30,0.013396665348232523,PB20-25gyro_Z
31,0.013302442139057541,PB40-45gyro_Z
32,0.012879084393473517,PB45-50gyro_Z
26,0.011676577198805348,PB45-50gyro_X
