,False: dropped,ranking
mean_acc_X,False,5
mean_acc_Y,False,45
mean_acc_Z,True,1
mean_gyro_X,True,1
mean_gyro_Y,False,39
mean_gyro_Z,False,8
mean_acc_xyz,True,1
max_acc_X,False,3
max_acc_Y,False,27
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,False,7
max_gyro_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,False,56
min_acc_Z,False,18
min_gyro_X,True,1
min_gyro_Y,True,1
min_gyro_Z,True,1
min_acc_xyz,False,21
var_acc_X,False,22
var_acc_Y,True,1
var_acc_Z,False,36
var_gyro_X,False,4
var_gyro_Y,False,14
var_gyro_Z,True,1
var_acc_xyz,False,11
median_acc_X,True,1
median_acc_Y,True,1
median_acc_Z,True,1
median_gyro_X,True,1
median_gyro_Y,False,71
median_gyro_Z,False,20
median_acc_xyz,False,9
per25_acc_X,True,1
per25_acc_Y,False,37
per25_acc_Z,False,28
per25_gyro_X,True,1
per25_gyro_Y,True,1
per25_gyro_Z,True,1
per25_acc_xyz,True,1
per75_acc_X,False,15
per75_acc_Y,False,10
per75_acc_Z,True,1
per75_gyro_X,True,1
per75_gyro_Y,False,13
per75_gyro_Z,True,1
per75_acc_xyz,True,1
per_range_acc_X,False,60
per_range_acc_Y,False,53
per_range_acc_Z,False,67
per_range_gyro_X,True,1
per_range_gyro_Y,True,1
per_range_gyro_Z,True,1
per_range_acc_xyz,False,40
RMS_acc_X,True,1
RMS_acc_Y,False,52
RMS_acc_Z,False,55
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,True,1
coef_acc_xy,False,35
coef_acc_xz,False,78
coef_acc_yz,False,29
coef_gyro_xy,True,1
coef_gyro_xz,True,1
coef_gyro_yz,True,1
PB0-5acc_X,True,1
PB5-10acc_X,False,23
PB10-15acc_X,False,81
PB15-20acc_X,False,95
PB20-25acc_X,True,1
PB25-30acc_X,False,65
PB30-35acc_X,False,89
PB35-40acc_X,False,91
PB40-45acc_X,False,26
PB45-50acc_X,False,85
PB0-5acc_Y,False,72
PB5-10acc_Y,False,66
PB10-15acc_Y,False,31
PB15-20acc_Y,False,77
PB20-25acc_Y,False,32
PB25-30acc_Y,False,96
PB30-35acc_Y,False,79
PB35-40acc_Y,False,92
PB40-45acc_Y,True,1
PB45-50acc_Y,False,97
PB0-5acc_Z,False,43
PB5-10acc_Z,False,58
PB10-15acc_Z,False,57
PB15-20acc_Z,False,86
PB20-25acc_Z,False,44
PB25-30acc_Z,False,83
PB30-35acc_Z,False,73
PB35-40acc_Z,False,76
PB40-45acc_Z,False,48
PB45-50acc_Z,False,75
PB0-5gyro_X,False,61
PB5-10gyro_X,False,19
PB10-15gyro_X,True,1
PB15-20gyro_X,False,17
PB20-25gyro_X,True,1
PB25-30gyro_X,False,62
PB30-35gyro_X,False,25
PB35-40gyro_X,False,49
PB40-45gyro_X,False,16
PB45-50gyro_X,False,38
PB0-5gyro_Y,False,64
PB5-10gyro_Y,False,41
PB10-15gyro_Y,False,12
PB15-20gyro_Y,False,24
PB20-25gyro_Y,True,1
PB25-30gyro_Y,False,74
PB30-35gyro_Y,False,46
PB35-40gyro_Y,False,59
PB40-45gyro_Y,True,1
PB45-50gyro_Y,False,54
PB0-5gyro_Z,False,2
PB5-10gyro_Z,False,33
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,True,1
PB25-30gyro_Z,False,34
PB30-35gyro_Z,False,30
PB35-40gyro_Z,False,42
PB40-45gyro_Z,True,1
PB45-50gyro_Z,True,1
PB0-5acc_xyz,True,1
PB5-10acc_xyz,False,88
PB10-15acc_xyz,False,68
PB15-20acc_xyz,False,93
PB20-25acc_xyz,False,82
PB25-30acc_xyz,False,94
PB30-35acc_xyz,False,99
PB35-40acc_xyz,False,100
PB40-45acc_xyz,False,98
PB45-50acc_xyz,False,90
FE_acc_X,False,47
FE_acc_Y,False,63
FE_acc_Z,False,87
FE_gyro_X,False,69
FE_gyro_Y,False,84
FE_gyro_Z,False,70
FE_acc_xyz,False,80
En_acc_X,False,50
En_acc_Y,False,51
En_acc_Z,False,6
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,True,1
