,False: dropped,featureImportances
mean_gyro_X,True,0.019959129654714962
mean_gyro_Y,False,0.0068162291497735955
mean_gyro_Z,False,0.009489757161504518
max_gyro_X,True,0.010920641928049339
max_gyro_Y,True,0.015708656497210195
max_gyro_Z,True,0.03905636060027612
min_gyro_X,True,0.019582668365817273
min_gyro_Y,True,0.029123902964932186
min_gyro_Z,True,0.01666383250013038
var_gyro_X,False,0.006307571922580894
var_gyro_Y,True,0.027737886271147635
var_gyro_Z,True,0.028194947571225606
median_gyro_X,True,0.013818462812301568
median_gyro_Y,False,0.005496416351199733
median_gyro_Z,False,0.0074439969927544
per25_gyro_X,True,0.06378398655842962
per25_gyro_Y,True,0.0626950989266853
per25_gyro_Z,True,0.01636567352778523
per75_gyro_X,True,0.010473277642206907
per75_gyro_Y,False,0.007125556095395894
per75_gyro_Z,True,0.019672473855854952
per_range_gyro_X,True,0.01062702399255179
per_range_gyro_Y,True,0.036351977003627335
per_range_gyro_Z,True,0.04731570263328368
RMS_gyro_X,False,0.008721107551392415
RMS_gyro_Y,True,0.013946914649040772
RMS_gyro_Z,True,0.030185319992984776
coef_gyro_xy,True,0.012872171538337866
coef_gyro_xz,True,0.015745677548069697
coef_gyro_yz,True,0.025371095828061487
PB0-5gyro_X,False,0.005074763867601129
PB5-10gyro_X,False,0.007280995492070137
PB10-15gyro_X,True,0.011926563049245385
PB15-20gyro_X,False,0.006309808696993896
PB20-25gyro_X,True,0.019189100967650984
PB25-30gyro_X,False,0.005254275309147789
PB30-35gyro_X,False,0.006052730446287131
PB35-40gyro_X,False,0.006330271914180314
PB40-45gyro_X,True,0.016596221320864885
PB45-50gyro_X,True,0.013995518401294864
PB0-5gyro_Y,False,0.005070919520351388
PB5-10gyro_Y,False,0.006693331568792867
PB10-15gyro_Y,True,0.011915059316466968
PB15-20gyro_Y,False,0.006391553157986895
PB20-25gyro_Y,True,0.01022420209432562
PB25-30gyro_Y,False,0.005620603017583796
PB30-35gyro_Y,False,0.0060952929716948
PB35-40gyro_Y,False,0.005295082020045541
PB40-45gyro_Y,False,0.006792063429859714
PB45-50gyro_Y,False,0.005420535651466765
PB0-5gyro_Z,False,0.009778807294946032
PB5-10gyro_Z,False,0.007850012662611906
PB10-15gyro_Z,True,0.02777569842561513
PB15-20gyro_Z,False,0.006556505136779326
PB20-25gyro_Z,True,0.010686136165665796
PB25-30gyro_Z,False,0.00511342002809029
PB30-35gyro_Z,False,0.0050662433077951746
PB35-40gyro_Z,False,0.005285374659991697
PB40-45gyro_Z,True,0.0154406112900743
PB45-50gyro_Z,True,0.013604951244984818
FE_gyro_X,False,0.005973414053774623
FE_gyro_Y,False,0.006795437955934311
FE_gyro_Z,False,0.005003741408353215
En_gyro_X,True,0.015046486296064497
En_gyro_Y,True,0.03428131561617382
En_gyro_Z,True,0.020639434151907835
