,imp,col
13,0.03528681797479227,var_acc_Y
47,0.030934236755612264,PB40-45acc_X
15,0.030153340993914313,var_acc_xyz
83,0.029814944702719122,En_acc_X
51,0.02905971991407927,PB10-15acc_Y
84,0.02727129291768691,En_acc_Y
29,0.025644834278525302,per_range_acc_Y
7,0.025492712264477396,max_acc_xyz
12,0.02332498101773433,var_acc_X
8,0.021686972937059682,min_acc_X
41,0.02146163007544071,PB10-15acc_X
53,0.020704423893273417,PB20-25acc_Y
31,0.020299314822936138,per_range_acc_xyz
36,0.017936933834743613,coef_acc_xy
52,0.016929349226492873,PB15-20acc_Y
20,0.01684994647602784,per25_acc_X
27,0.01640271127240996,per75_acc_xyz
57,0.01624849122241836,PB40-45acc_Y
32,0.014702362004341782,RMS_acc_X
42,0.013871061224997688,PB15-20acc_X
3,0.013400673516944022,mean_acc_xyz
43,0.012799628133576357,PB20-25acc_X
62,0.012498809352848759,PB15-20acc_Z
39,0.012322338511365612,PB0-5acc_X
86,0.012007234439992739,En_acc_xyz
69,0.011794976632453224,PB0-5acc_xyz
16,0.01136340100295126,median_acc_X
0,0.011350239116348675,mean_acc_X
35,0.011148473112862507,RMS_acc_xyz
23,0.010715762913411682,per25_acc_xyz
30,0.010643433295488888,per_range_acc_Z
25,0.010211694989506128,per75_acc_Y
40,0.010028862986751656,PB5-10acc_X
4,0.009994421544967089,max_acc_X
71,0.009852161335424343,PB10-15acc_xyz
28,0.009845858799074226,per_range_acc_X
85,0.009815340275141853,En_acc_Z
50,0.009702338009835828,PB5-10acc_Y
19,0.009638687107268586,median_acc_xyz
63,0.009428650573402133,PB20-25acc_Z
70,0.009186078051269747,PB5-10acc_xyz
5,0.009035743463003941,max_acc_Y
6,0.009000511469289114,max_acc_Z
37,0.008847592005572415,coef_acc_xz
49,0.00876282459561226,PB0-5acc_Y
9,0.008656430443128579,min_acc_Y
26,0.008613655057943016,per75_acc_Z
11,0.008593464875198752,min_acc_xyz
14,0.008474627285745117,var_acc_Z
24,0.008442170638795543,per75_acc_X
38,0.008302264869820535,coef_acc_yz
33,0.008190348164785467,RMS_acc_Y
1,0.008173064723726664,mean_acc_Y
17,0.008170474942714315,median_acc_Y
67,0.008046317034185577,PB40-45acc_Z
10,0.008007121480252056,min_acc_Z
45,0.00791057352128863,PB30-35acc_X
2,0.007830632072779146,mean_acc_Z
18,0.007586989933097305,median_acc_Z
61,0.007552557424251783,PB10-15acc_Z
48,0.007441008683448563,PB45-50acc_X
80,0.007229089505672616,FE_acc_Y
77,0.007068158266051646,PB40-45acc_xyz
59,0.00700984191460362,PB0-5acc_Z
55,0.006886794498482292,PB30-35acc_Y
72,0.006857978702530106,PB15-20acc_xyz
22,0.0068177531527219715,per25_acc_Z
34,0.0067886442714179054,RMS_acc_Z
79,0.006726256724683348,FE_acc_X
44,0.006581863896698845,PB25-30acc_X
58,0.006239527632451447,PB45-50acc_Y
21,0.006069776314784226,per25_acc_Y
81,0.0060371176335634975,FE_acc_Z
73,0.006002660885355166,PB20-25acc_xyz
68,0.005812129612714406,PB45-50acc_Z
60,0.005691089387840615,PB5-10acc_Z
82,0.005681650640085284,FE_acc_xyz
56,0.005678886752809732,PB35-40acc_Y
65,0.005387556380238976,PB30-35acc_Z
75,0.005133239629579888,PB30-35acc_xyz
46,0.005100355844572419,PB35-40acc_X
54,0.004914643856285418,PB25-30acc_Y
66,0.0048380906637093815,PB35-40acc_Z
64,0.0048083273422583625,PB25-30acc_Z
74,0.004494489848859328,PB25-30acc_xyz
78,0.0044469048735264975,PB45-50acc_xyz
76,0.004233657573295678,PB35-40acc_xyz
