,imp,col
18,0.046875911901241456,min_gyro_Y
38,0.044246317787599236,per25_gyro_X
54,0.034835086120637904,per_range_gyro_Z
151,0.02910777000432162,En_gyro_Z
26,0.025336344837246384,var_gyro_Z
39,0.022245599352447278,per25_gyro_Y
12,0.020764368132394528,max_gyro_Z
17,0.020763328657950234,min_gyro_X
121,0.02052442775180611,PB10-15gyro_Z
25,0.01753575710440376,var_gyro_Y
22,0.01699953913271947,var_acc_Y
128,0.015560262797569831,PB45-50gyro_Z
68,0.014471115640513121,coef_gyro_yz
40,0.013447627979225529,per25_gyro_Z
47,0.013433033935020103,per75_gyro_Z
147,0.013259105106868434,En_acc_Y
61,0.013034968611472469,RMS_gyro_Z
53,0.012263440047024851,per_range_gyro_Y
24,0.0121669700745833,var_gyro_X
103,0.012058238085044151,PB20-25gyro_X
127,0.01202271928344733,PB40-45gyro_Z
60,0.01160564341124386,RMS_gyro_Y
111,0.01084689617328347,PB10-15gyro_Y
52,0.010765464619038743,per_range_gyro_X
152,0.010194160406372459,En_acc_xyz
83,0.009826237589045064,PB20-25acc_Y
55,0.009778228838206325,per_range_acc_xyz
123,0.008944039138827256,PB20-25gyro_Z
3,0.008828210270993302,mean_gyro_X
150,0.00876150172189804,En_gyro_Y
31,0.008618184706584143,median_gyro_X
35,0.008587481253791166,per25_acc_X
101,0.008172786395087325,PB10-15gyro_X
9,0.008121884871794001,max_acc_Z
14,0.007999377592739157,min_acc_X
11,0.007906128087591342,max_gyro_Y
113,0.007855605258334817,PB20-25gyro_Y
117,0.00782921537700644,PB40-45gyro_Y
10,0.007567934772739364,max_gyro_X
50,0.007520389173635214,per_range_acc_Y
122,0.006950576023500063,PB15-20gyro_Z
48,0.0069307046561988325,per75_acc_xyz
107,0.006917863782123179,PB40-45gyro_X
49,0.00672004350851411,per_range_acc_X
67,0.006698077331016064,coef_gyro_xz
44,0.006586644240841913,per75_acc_Z
62,0.0065543240424346975,RMS_acc_xyz
69,0.006273893282949932,PB0-5acc_X
2,0.006107771383506893,mean_acc_Z
13,0.006085201564100917,max_acc_xyz
27,0.006071855867566792,var_acc_xyz
6,0.005781728000144806,mean_acc_xyz
105,0.005780304877140855,PB30-35gyro_X
129,0.005778559835051043,PB0-5acc_xyz
19,0.005733159496851282,min_gyro_Z
56,0.005697068228018107,RMS_acc_X
71,0.005619266618721126,PB10-15acc_X
66,0.005524084711557231,coef_gyro_xy
102,0.005505878323118119,PB15-20gyro_X
30,0.005452174688529888,median_acc_Z
37,0.005335809760586604,per25_acc_Z
28,0.005258879738758831,median_acc_X
45,0.005207637819581776,per75_gyro_X
59,0.005190569520319508,RMS_gyro_X
108,0.00518063284564765,PB45-50gyro_X
0,0.005076862969664997,mean_acc_X
149,0.0050168429915553705,En_gyro_X
125,0.004744365756216888,PB30-35gyro_Z
126,0.0045063281035819195,PB35-40gyro_Z
16,0.004486903215896361,min_acc_Z
34,0.004430688902584941,median_acc_xyz
118,0.004417963538797807,PB45-50gyro_Y
81,0.004306527041040455,PB10-15acc_Y
73,0.004211098748137918,PB20-25acc_X
43,0.004114909291699933,per75_acc_Y
112,0.0040784854122503855,PB15-20gyro_Y
77,0.0039855915889627225,PB40-45acc_X
42,0.003949063970467899,per75_acc_X
7,0.00390450335322826,max_acc_X
58,0.003850601842952372,RMS_acc_Z
41,0.0038369589326897368,per25_acc_xyz
20,0.003826260569417636,min_acc_xyz
29,0.0038217265218981763,median_acc_Y
119,0.0036915737044642023,PB0-5gyro_Z
124,0.0036851858646048076,PB25-30gyro_Z
5,0.00367272310971885,mean_gyro_Z
46,0.0035623955905047418,per75_gyro_Y
63,0.0034937683373446682,coef_acc_xy
82,0.003474797149131842,PB15-20acc_Y
1,0.003466635840403207,mean_acc_Y
8,0.0033237862320502293,max_acc_Y
33,0.003203296222498166,median_gyro_Z
106,0.0031795598032993014,PB35-40gyro_X
36,0.0031438841196768817,per25_acc_Y
23,0.003129927593637196,var_acc_Z
115,0.0031260742044903833,PB30-35gyro_Y
120,0.0031223560556395435,PB5-10gyro_Z
21,0.0031091075726070623,var_acc_X
89,0.0030692123846858786,PB0-5acc_Z
148,0.003036808360138757,En_acc_Z
4,0.0030252159950157945,mean_gyro_Y
79,0.0030221925145528477,PB0-5acc_Y
116,0.002908613676196994,PB35-40gyro_Y
65,0.0028602814139260372,coef_acc_yz
146,0.002854579404703291,En_acc_X
70,0.002824472450937534,PB5-10acc_X
100,0.002822208172098088,PB5-10gyro_X
104,0.0027824131051856654,PB25-30gyro_X
57,0.0027757924181740614,RMS_acc_Y
72,0.002725798610784169,PB15-20acc_X
110,0.0027255541023233,PB5-10gyro_Y
15,0.0027252934532957735,min_acc_Y
87,0.0026502834865425972,PB40-45acc_Y
114,0.0025034511971187613,PB25-30gyro_Y
142,0.002492538156370124,FE_gyro_X
80,0.0024803452415676813,PB5-10acc_Y
93,0.0024566833177417035,PB20-25acc_Z
