,False: dropped,featureImportances
mean_acc_X,False,0.009857508110259601
mean_acc_Y,False,0.007196336371949999
mean_acc_Z,False,0.007288623314374026
mean_acc_xyz,True,0.013224476660247488
max_acc_X,False,0.007752925525524165
max_acc_Y,False,0.00691182246352716
max_acc_Z,False,0.008706136091393398
max_acc_xyz,True,0.02352002112126605
min_acc_X,True,0.013630808771192821
min_acc_Y,False,0.008272659448057525
min_acc_Z,False,0.006497222497855993
min_acc_xyz,False,0.00862523586966129
var_acc_X,True,0.010663645196387614
var_acc_Y,True,0.03601783140871128
var_acc_Z,False,0.009265686791638751
var_acc_xyz,True,0.021258478936818228
median_acc_X,True,0.010025243617512359
median_acc_Y,False,0.007052482504837383
median_acc_Z,False,0.006448560132321323
median_acc_xyz,False,0.009683247400525325
per25_acc_X,True,0.018507588593272128
per25_acc_Y,False,0.0054637413730724855
per25_acc_Z,False,0.007639912999014451
per25_acc_xyz,False,0.00909035012084924
per75_acc_X,False,0.0067993328424103055
per75_acc_Y,False,0.008904731194663963
per75_acc_Z,False,0.006317031321980044
per75_acc_xyz,True,0.020130412426829697
per_range_acc_X,True,0.011743942127385753
per_range_acc_Y,True,0.032083810982294694
per_range_acc_Z,True,0.012336264609398016
per_range_acc_xyz,True,0.023562355927994057
RMS_acc_X,False,0.008641105302208095
RMS_acc_Y,False,0.00632557979003477
RMS_acc_Z,False,0.006986685026072633
RMS_acc_xyz,True,0.014679143475533863
coef_acc_xy,True,0.019062138016968697
coef_acc_xz,False,0.009090608267777734
coef_acc_yz,True,0.013432151556225985
PB0-5acc_X,False,0.009219639521116207
PB5-10acc_X,False,0.009057444196157555
PB10-15acc_X,True,0.015596930756250153
PB15-20acc_X,True,0.012377612104395976
PB20-25acc_X,True,0.012401262436845605
PB25-30acc_X,False,0.0051332391392490215
PB30-35acc_X,False,0.005615182873978856
PB35-40acc_X,False,0.0054053221725706944
PB40-45acc_X,True,0.033512126470517135
PB45-50acc_X,False,0.007812940745066171
PB0-5acc_Y,False,0.006948784084852335
PB5-10acc_Y,True,0.012630341616039742
PB10-15acc_Y,True,0.035176122249420294
PB15-20acc_Y,True,0.02533640449961119
PB20-25acc_Y,True,0.033948657900871364
PB25-30acc_Y,False,0.0059256775074903656
PB30-35acc_Y,False,0.0050910038153818855
PB35-40acc_Y,False,0.004800092857122021
PB40-45acc_Y,True,0.027059168781353605
PB45-50acc_Y,True,0.013677222148631192
PB0-5acc_Z,False,0.00696995213196719
PB5-10acc_Z,False,0.007741311171267133
PB10-15acc_Z,False,0.009946479713268612
PB15-20acc_Z,True,0.013782097726675943
PB20-25acc_Z,False,0.00808871622826366
PB25-30acc_Z,False,0.005212823916759726
PB30-35acc_Z,False,0.00522998383987062
PB35-40acc_Z,False,0.004922742664555838
PB40-45acc_Z,False,0.00981080331315046
PB45-50acc_Z,True,0.011415486446996592
PB0-5acc_xyz,True,0.012383227692317646
PB5-10acc_xyz,False,0.006279639425710618
PB10-15acc_xyz,False,0.008087626179529222
PB15-20acc_xyz,False,0.005894535359107651
PB20-25acc_xyz,True,0.01616575601045591
PB25-30acc_xyz,False,0.00462740133123337
PB30-35acc_xyz,False,0.005527335645415496
PB35-40acc_xyz,False,0.0044775593729299715
PB40-45acc_xyz,True,0.011853191862784006
PB45-50acc_xyz,False,0.004671550596531143
FE_acc_X,False,0.006381148323719081
FE_acc_Y,False,0.007259405359910783
FE_acc_Z,False,0.00570967792431848
FE_acc_xyz,False,0.006794501587810238
En_acc_X,False,0.009474703418346527
En_acc_Y,True,0.02605624520030638
En_acc_Z,False,0.008206204052234609
En_acc_xyz,False,0.007608879439593491
