,False: dropped,featureImportances
mean_gyro_X,True,0.018095650668498886
mean_gyro_Y,False,0.0061992236884443495
mean_gyro_Z,False,0.007916809074843678
max_gyro_X,True,0.012492622378921077
max_gyro_Y,False,0.006528950141770492
max_gyro_Z,True,0.019164616891542974
min_gyro_X,True,0.013104982219937248
min_gyro_Y,True,0.020010640529354046
min_gyro_Z,True,0.022926814261873273
var_gyro_X,True,0.01010469696722975
var_gyro_Y,True,0.012922895813935723
var_gyro_Z,True,0.02279936315056781
median_gyro_X,False,0.009618331619454253
median_gyro_Y,False,0.005113286621326644
median_gyro_Z,False,0.007269990257825285
per25_gyro_X,True,0.06646623936338744
per25_gyro_Y,True,0.058135157607847134
per25_gyro_Z,True,0.015725958851321165
per75_gyro_X,False,0.00986972198567664
per75_gyro_Y,False,0.007319251527652133
per75_gyro_Z,True,0.021279133388290156
per_range_gyro_X,True,0.024697695030425165
per_range_gyro_Y,True,0.022959229562579512
per_range_gyro_Z,True,0.07970792719192044
RMS_gyro_X,False,0.009096545194583344
RMS_gyro_Y,False,0.0052835180068774015
RMS_gyro_Z,True,0.03635397111675879
coef_gyro_xy,True,0.011637004745634985
coef_gyro_xz,True,0.014146690811887675
coef_gyro_yz,True,0.030285009918153076
PB0-5gyro_X,False,0.005160748138324888
PB5-10gyro_X,False,0.009447195763957441
PB10-15gyro_X,True,0.012200748094146122
PB15-20gyro_X,True,0.010492838879372192
PB20-25gyro_X,True,0.020555268596154502
PB25-30gyro_X,False,0.006477966755220366
PB30-35gyro_X,False,0.00745748193930577
PB35-40gyro_X,False,0.005212615514977429
PB40-45gyro_X,True,0.022426505328749628
PB45-50gyro_X,True,0.012003560614084086
PB0-5gyro_Y,False,0.005470553164878926
PB5-10gyro_Y,False,0.0073633133209463925
PB10-15gyro_Y,False,0.006576131478225219
PB15-20gyro_Y,False,0.006630615090439248
PB20-25gyro_Y,True,0.013717606313879893
PB25-30gyro_Y,False,0.005014533135131527
PB30-35gyro_Y,False,0.00586608806397027
PB35-40gyro_Y,False,0.005270405313080609
PB40-45gyro_Y,False,0.008594134265301055
PB45-50gyro_Y,False,0.006028078472936939
PB0-5gyro_Z,False,0.007470832023333014
PB5-10gyro_Z,False,0.008615710250930407
PB10-15gyro_Z,True,0.024274771004334134
PB15-20gyro_Z,False,0.008368767982826333
PB20-25gyro_Z,True,0.014148516203269686
PB25-30gyro_Z,False,0.005433144405160496
PB30-35gyro_Z,False,0.005029398850519616
PB35-40gyro_Z,False,0.004706872800758521
PB40-45gyro_Z,True,0.025728159769703832
PB45-50gyro_Z,True,0.01987449542021155
FE_gyro_X,False,0.006284677239896501
FE_gyro_Y,False,0.0055494332647929995
FE_gyro_Z,False,0.005520560354350329
En_gyro_X,True,0.010595775988098943
En_gyro_Y,True,0.01391747080394018
En_gyro_Z,True,0.045283096806270524
