,imp,col
34,0.05171359314379864,En_acc_X
17,0.04957402277513078,per_range_acc_Y
35,0.04506324019839957,En_acc_Y
8,0.04296865933905416,var_acc_Y
4,0.038665326945412554,max_acc_xyz
7,0.03648607451910428,var_acc_X
5,0.03639860133174014,min_acc_X
29,0.035991226578184446,PB10-15acc_Y
18,0.032620824622156416,per_range_acc_xyz
36,0.030709155028535145,En_acc_xyz
21,0.029948785561828378,coef_acc_xy
10,0.029447746023163763,var_acc_xyz
26,0.02924375718113507,PB20-25acc_X
13,0.02871861615807464,per25_acc_X
25,0.02743376742326283,PB10-15acc_X
16,0.02557740493806467,per75_acc_xyz
31,0.02549498257305609,PB40-45acc_Y
9,0.021811138540638077,var_acc_Z
11,0.02159050340175407,median_acc_X
32,0.02156651444367816,PB15-20acc_Z
1,0.021480898099359467,mean_acc_xyz
23,0.021399208481974217,PB0-5acc_X
30,0.021225475821950075,PB20-25acc_Y
0,0.021188672535450197,mean_acc_X
33,0.020897481398332814,PB0-5acc_xyz
19,0.020831664376327934,RMS_acc_X
15,0.02068568722469418,per75_acc_Y
3,0.020423875633556517,max_acc_Z
14,0.019910422598466156,per25_acc_xyz
20,0.019888127713730448,RMS_acc_xyz
22,0.01943267855090471,coef_acc_xz
2,0.01925191090558897,max_acc_X
27,0.019015477295090587,PB40-45acc_X
28,0.018929575026967925,PB5-10acc_Y
24,0.018526400069634137,PB5-10acc_X
12,0.01836576240691404,median_acc_Z
6,0.017522741134885823,min_acc_Y
