,imp,col
13,0.07737098280594365,per25_gyro_X
21,0.05279673202301688,per_range_gyro_Z
6,0.049807678809514824,min_gyro_Y
5,0.04776036661910381,min_gyro_X
4,0.045483233206700904,max_gyro_Z
14,0.043588548132050965,per25_gyro_Y
20,0.03781972059772549,per_range_gyro_Y
48,0.031078097683022814,En_gyro_Z
10,0.02705780851730071,var_gyro_Z
27,0.026100387460220364,coef_gyro_yz
18,0.025193660319966955,per75_gyro_Z
0,0.020572068320232957,mean_gyro_X
40,0.020218812928505442,PB10-15gyro_Z
9,0.019659061245977185,var_gyro_Y
43,0.018574323706496674,PB40-45gyro_Z
15,0.01855708155413414,per25_gyro_Z
19,0.018340853133587635,per_range_gyro_X
29,0.017643448224308942,PB10-15gyro_X
26,0.01745706904538316,coef_gyro_xz
33,0.017303948714960177,PB40-45gyro_X
11,0.017238005552814673,median_gyro_X
35,0.01722305425906879,PB10-15gyro_Y
24,0.01677528867750433,RMS_gyro_Z
44,0.01590610581416827,PB45-50gyro_Z
3,0.015541485881501966,max_gyro_Y
34,0.015418643955253029,PB45-50gyro_X
25,0.015385132018572157,coef_gyro_xy
31,0.014883206480930703,PB20-25gyro_X
22,0.014731074557813162,RMS_gyro_X
47,0.01449266815755362,En_gyro_Y
37,0.014485519729885493,PB40-45gyro_Y
46,0.014116697228129546,En_gyro_X
36,0.013902410208933342,PB20-25gyro_Y
2,0.01380824724586387,max_gyro_X
16,0.012667660256394991,per75_gyro_X
7,0.012337891475791443,min_gyro_Z
23,0.011934223604535027,RMS_gyro_Y
42,0.011679064143809958,PB20-25gyro_Z
30,0.010575995108323829,PB15-20gyro_X
41,0.010242282884749003,PB15-20gyro_Z
38,0.010206735501808572,PB0-5gyro_Z
39,0.00994623172003863,PB5-10gyro_Z
1,0.009868450775046445,mean_gyro_Z
8,0.009696896094430512,var_gyro_X
28,0.009329493456372686,PB5-10gyro_X
12,0.009316694821826847,median_gyro_Z
17,0.009089987521841434,per75_gyro_Y
32,0.00860967420571377,PB30-35gyro_X
45,0.008207295613170266,FE_gyro_Y
