,False: dropped,ranking
mean_acc_X,True,1
mean_acc_Y,False,18
mean_acc_Z,False,14
mean_acc_xyz,True,1
max_acc_X,True,1
max_acc_Y,False,5
max_acc_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,True,1
min_acc_Z,False,15
min_acc_xyz,False,8
var_acc_X,True,1
var_acc_Y,True,1
var_acc_Z,True,1
var_acc_xyz,True,1
median_acc_X,True,1
median_acc_Y,False,17
median_acc_Z,True,1
median_acc_xyz,False,3
per25_acc_X,True,1
per25_acc_Y,False,42
per25_acc_Z,False,33
per25_acc_xyz,True,1
per75_acc_X,False,12
per75_acc_Y,True,1
per75_acc_Z,False,20
per75_acc_xyz,True,1
per_range_acc_X,False,2
per_range_acc_Y,True,1
per_range_acc_Z,False,32
per_range_acc_xyz,True,1
RMS_acc_X,True,1
RMS_acc_Y,False,21
RMS_acc_Z,False,25
RMS_acc_xyz,True,1
coef_acc_xy,True,1
coef_acc_xz,True,1
coef_acc_yz,False,9
PB0-5acc_X,True,1
PB5-10acc_X,True,1
PB10-15acc_X,True,1
PB15-20acc_X,False,7
PB20-25acc_X,True,1
PB25-30acc_X,False,29
PB30-35acc_X,False,39
PB35-40acc_X,False,47
PB40-45acc_X,True,1
PB45-50acc_X,False,27
PB0-5acc_Y,False,4
PB5-10acc_Y,True,1
PB10-15acc_Y,True,1
PB15-20acc_Y,False,6
PB20-25acc_Y,True,1
PB25-30acc_Y,False,37
PB30-35acc_Y,False,43
PB35-40acc_Y,False,24
PB40-45acc_Y,True,1
PB45-50acc_Y,False,41
PB0-5acc_Z,False,23
PB5-10acc_Z,False,36
PB10-15acc_Z,False,22
PB15-20acc_Z,True,1
PB20-25acc_Z,False,13
PB25-30acc_Z,False,46
PB30-35acc_Z,False,44
PB35-40acc_Z,False,45
PB40-45acc_Z,False,10
PB45-50acc_Z,False,31
PB0-5acc_xyz,True,1
PB5-10acc_xyz,False,16
PB10-15acc_xyz,False,28
PB15-20acc_xyz,False,34
PB20-25acc_xyz,False,30
PB25-30acc_xyz,False,51
PB30-35acc_xyz,False,40
PB35-40acc_xyz,False,50
PB40-45acc_xyz,False,49
PB45-50acc_xyz,False,48
FE_acc_X,False,26
FE_acc_Y,False,19
FE_acc_Z,False,38
FE_acc_xyz,False,35
En_acc_X,True,1
En_acc_Y,True,1
En_acc_Z,False,11
En_acc_xyz,True,1
