,imp,col
16,0.06523245645304208,per25_gyro_Y
15,0.056851515741749514,per25_gyro_X
23,0.050431893922482283,per_range_gyro_Z
22,0.0365257006062254,per_range_gyro_Y
64,0.03329723517729002,En_gyro_Y
5,0.031662401012699425,max_gyro_Z
26,0.0307261908209309,RMS_gyro_Z
7,0.029291906040789035,min_gyro_Y
52,0.02874527057269055,PB10-15gyro_Z
10,0.02775080874937577,var_gyro_Y
11,0.025826548323029226,var_gyro_Z
29,0.02359343636873065,coef_gyro_yz
58,0.020712344395568922,PB40-45gyro_Z
65,0.020196603506191964,En_gyro_Z
17,0.01858850757434865,per25_gyro_Z
6,0.018529888595487917,min_gyro_X
20,0.01811972834416157,per75_gyro_Z
0,0.017824675342483096,mean_gyro_X
34,0.017523384276952707,PB20-25gyro_X
59,0.015486532730591394,PB45-50gyro_Z
28,0.015465460345078359,coef_gyro_xz
8,0.01496907004372805,min_gyro_Z
12,0.014808659136570557,median_gyro_X
63,0.013858408532285116,En_gyro_X
21,0.013668736228361613,per_range_gyro_X
38,0.013512695437505492,PB40-45gyro_X
32,0.013460712069940078,PB10-15gyro_X
27,0.013230143128933456,coef_gyro_xy
44,0.013061188567253041,PB20-25gyro_Y
4,0.012868636883519222,max_gyro_Y
3,0.011746442283726417,max_gyro_X
9,0.011704413743138338,var_gyro_X
24,0.011283961905048694,RMS_gyro_X
18,0.011165911207249201,per75_gyro_X
25,0.010094966139585434,RMS_gyro_Y
54,0.010091519786096006,PB20-25gyro_Z
42,0.009904287733401828,PB10-15gyro_Y
48,0.009225139749686185,PB40-45gyro_Y
53,0.009116799250333606,PB15-20gyro_Z
33,0.009052894323380812,PB15-20gyro_X
2,0.008507659425259315,mean_gyro_Z
50,0.008406122666446417,PB0-5gyro_Z
46,0.008256429502438534,PB30-35gyro_Y
49,0.0080729059312577,PB45-50gyro_Y
14,0.007564691808012966,median_gyro_Z
31,0.007441654676724825,PB5-10gyro_X
51,0.007437313896424368,PB5-10gyro_Z
19,0.007276623722090351,per75_gyro_Y
43,0.006854215791731527,PB15-20gyro_Y
37,0.006777338370788916,PB35-40gyro_X
41,0.006763636474454657,PB5-10gyro_Y
56,0.006644209902913238,PB30-35gyro_Z
1,0.0066195288665123805,mean_gyro_Y
39,0.00658037712821819,PB45-50gyro_X
36,0.006483204528217668,PB30-35gyro_X
60,0.0062046725293783845,FE_gyro_X
61,0.00611134112011019,FE_gyro_Y
30,0.005803447104144164,PB0-5gyro_X
47,0.005681783619513115,PB35-40gyro_Y
62,0.005656041908537199,FE_gyro_Z
55,0.005436578076952655,PB25-30gyro_Z
45,0.005348651937358924,PB25-30gyro_Y
57,0.005338729188878212,PB35-40gyro_Z
13,0.005215094872920268,median_gyro_Y
35,0.005183653000854432,PB25-30gyro_X
40,0.005127018900218889,PB0-5gyro_Y
