,False: dropped,featureImportances
mean_acc_X,False,0.004801209092171773
mean_acc_Y,False,0.0027492521552440383
mean_acc_Z,False,0.004319820165857369
mean_gyro_X,False,0.007294247624999732
mean_gyro_Y,False,0.002482708952613577
mean_gyro_Z,False,0.004104343816261618
mean_acc_xyz,False,0.006714098328688453
max_acc_X,False,0.0038736604275618216
max_acc_Y,False,0.004680271526237985
max_acc_Z,True,0.010706504747246054
max_gyro_X,False,0.0098514683340947
max_gyro_Y,False,0.007403004640610611
max_gyro_Z,True,0.017915983438157094
max_acc_xyz,False,0.004519267776408322
min_acc_X,False,0.008977764939150598
min_acc_Y,False,0.0024064048467348632
min_acc_Z,False,0.0067172977928716794
min_gyro_X,True,0.022091313859563363
min_gyro_Y,True,0.050428720319214984
min_gyro_Z,False,0.0045296403011834165
min_acc_xyz,False,0.004250341361950191
var_acc_X,False,0.002795931711598182
var_acc_Y,True,0.012864918269050025
var_acc_Z,False,0.002497225450329865
var_gyro_X,True,0.01370049616156183
var_gyro_Y,True,0.014125636076903992
var_gyro_Z,True,0.021948950362086418
var_acc_xyz,False,0.002686267734012334
median_acc_X,False,0.004459880291385002
median_acc_Y,False,0.0041505483586310185
median_acc_Z,False,0.005974932411249063
median_gyro_X,False,0.006766039733734778
median_gyro_Y,False,0.0025907834770383165
median_gyro_Z,False,0.0032992644997828433
median_acc_xyz,False,0.003943327503622086
per25_acc_X,False,0.006259824100683762
per25_acc_Y,False,0.003553043389899859
per25_acc_Z,False,0.0035501590330342158
per25_gyro_X,True,0.04825268445964125
per25_gyro_Y,True,0.025018900852626372
per25_gyro_Z,True,0.011855722402611797
per25_acc_xyz,False,0.004171648805723076
per75_acc_X,False,0.0038629491677409505
per75_acc_Y,False,0.003920211578684342
per75_acc_Z,False,0.007016248483090848
per75_gyro_X,False,0.006756828921584369
per75_gyro_Y,False,0.004187877472365223
per75_gyro_Z,True,0.012001240199925427
per75_acc_xyz,False,0.00536731107948732
per_range_acc_X,False,0.009159748134659602
per_range_acc_Y,True,0.010291994899260299
per_range_acc_Z,False,0.0018936279107942483
per_range_gyro_X,True,0.014712998574591312
per_range_gyro_Y,False,0.007896115517812502
per_range_gyro_Z,True,0.03543707542282325
per_range_acc_xyz,False,0.00945446230473428
RMS_acc_X,False,0.0047496908510252294
RMS_acc_Y,False,0.0032009988323491462
RMS_acc_Z,False,0.002816998726709796
RMS_gyro_X,False,0.0034959187242876275
RMS_gyro_Y,True,0.013947710347504546
RMS_gyro_Z,True,0.013070080636169743
RMS_acc_xyz,False,0.0069477360917313
coef_acc_xy,False,0.0033192751674608677
coef_acc_xz,False,0.0023375890492737675
coef_acc_yz,False,0.0028695233846746868
coef_gyro_xy,False,0.0059840021857717005
coef_gyro_xz,False,0.005346069061684192
coef_gyro_yz,True,0.01640392993615283
PB0-5acc_X,False,0.005955735175569147
PB5-10acc_X,False,0.002831869082264571
PB10-15acc_X,False,0.002538288648901273
PB15-20acc_X,False,0.0017365326656358295
PB20-25acc_X,False,0.003980231584178354
PB25-30acc_X,False,0.002015939986610644
PB30-35acc_X,False,0.0016083685923649245
PB35-40acc_X,False,0.002168987452195966
PB40-45acc_X,False,0.004188122927937427
PB45-50acc_X,False,0.0019351895646549059
PB0-5acc_Y,False,0.002767398704779495
PB5-10acc_Y,False,0.002362926212329343
PB10-15acc_Y,False,0.0033588028554410398
PB15-20acc_Y,False,0.004496135320762735
PB20-25acc_Y,True,0.010229793771461337
PB25-30acc_Y,False,0.0021111951912745086
PB30-35acc_Y,False,0.002035074276431872
PB35-40acc_Y,False,0.0015078100332904807
PB40-45acc_Y,False,0.0037492203014699217
PB45-50acc_Y,False,0.0019048115991550647
PB0-5acc_Z,False,0.0028622700847091703
PB5-10acc_Z,False,0.002483557754652308
PB10-15acc_Z,False,0.002354571313180676
PB15-20acc_Z,False,0.0021571426547545036
PB20-25acc_Z,False,0.0024255166964619232
PB25-30acc_Z,False,0.002447364419668123
PB30-35acc_Z,False,0.0026243326364107466
PB35-40acc_Z,False,0.0019301293801491568
PB40-45acc_Z,False,0.002112964988650768
PB45-50acc_Z,False,0.0021312944553037376
PB0-5gyro_X,False,0.002054235258636338
PB5-10gyro_X,False,0.002865319266558094
PB10-15gyro_X,False,0.009060983846022845
PB15-20gyro_X,False,0.004898584284786856
PB20-25gyro_X,True,0.011047946402668684
PB25-30gyro_X,False,0.0027427646656691803
PB30-35gyro_X,False,0.00420851070034717
PB35-40gyro_X,False,0.002599233035708415
PB40-45gyro_X,False,0.007007398866802875
PB45-50gyro_X,False,0.0029751895565137895
PB0-5gyro_Y,False,0.002583947180411986
PB5-10gyro_Y,False,0.002333528568701073
PB10-15gyro_Y,True,0.010788177302685883
PB15-20gyro_Y,False,0.0024748578734640927
PB20-25gyro_Y,False,0.004660596686017801
PB25-30gyro_Y,False,0.004945482479069524
PB30-35gyro_Y,False,0.0024413491352760653
PB35-40gyro_Y,False,0.004532059259021848
PB40-45gyro_Y,False,0.007385411268203015
PB45-50gyro_Y,False,0.005693550510216569
PB0-5gyro_Z,False,0.003419556673302627
PB5-10gyro_Z,False,0.0036330051744609976
PB10-15gyro_Z,True,0.03065614427085673
PB15-20gyro_Z,False,0.00930525510593525
PB20-25gyro_Z,True,0.012334205556173533
PB25-30gyro_Z,False,0.004222348821362893
PB30-35gyro_Z,False,0.0037458631690040966
PB35-40gyro_Z,False,0.0037737438461541237
PB40-45gyro_Z,False,0.009920584451859338
PB45-50gyro_Z,True,0.018992399549268686
PB0-5acc_xyz,False,0.0049552441242037264
PB5-10acc_xyz,False,0.0018047491679327704
PB10-15acc_xyz,False,0.0018797013115743747
PB15-20acc_xyz,False,0.0017525929868976535
PB20-25acc_xyz,False,0.0017158557287732302
PB25-30acc_xyz,False,0.001765490229034005
PB30-35acc_xyz,False,0.0014891383867337111
PB35-40acc_xyz,False,0.001377156120450017
PB40-45acc_xyz,False,0.00188643477981653
PB45-50acc_xyz,False,0.001541953820248833
FE_acc_X,False,0.0022059415439747566
FE_acc_Y,False,0.001947811826378494
FE_acc_Z,False,0.0021664562661401817
FE_gyro_X,False,0.0020647883649537674
FE_gyro_Y,False,0.002670882161477263
FE_gyro_Z,False,0.0022301933500537283
FE_acc_xyz,False,0.002276659819797274
En_acc_X,False,0.002074577606813217
En_acc_Y,True,0.012296138004450754
En_acc_Z,False,0.003532106103056406
En_gyro_X,False,0.003697077046648207
En_gyro_Y,True,0.011367493211845858
En_gyro_Z,True,0.019447725648463147
En_acc_xyz,True,0.01580829910009403
