,False: dropped,ranking
mean_acc_X,False,18
mean_acc_Y,False,28
mean_acc_Z,False,23
mean_acc_xyz,True,1
max_acc_X,True,1
max_acc_Y,False,16
max_acc_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,False,24
min_acc_Z,False,19
min_acc_xyz,False,27
var_acc_X,False,26
var_acc_Y,True,1
var_acc_Z,True,1
var_acc_xyz,True,1
median_acc_X,True,1
median_acc_Y,False,14
median_acc_Z,False,40
median_acc_xyz,False,13
per25_acc_X,True,1
per25_acc_Y,False,47
per25_acc_Z,False,34
per25_acc_xyz,False,6
per75_acc_X,False,30
per75_acc_Y,True,1
per75_acc_Z,False,11
per75_acc_xyz,True,1
per_range_acc_X,False,3
per_range_acc_Y,True,1
per_range_acc_Z,False,31
per_range_acc_xyz,True,1
RMS_acc_X,True,1
RMS_acc_Y,False,39
RMS_acc_Z,False,35
RMS_acc_xyz,True,1
coef_acc_xy,True,1
coef_acc_xz,False,10
coef_acc_yz,True,1
PB0-5acc_X,False,4
PB5-10acc_X,False,8
PB10-15acc_X,False,17
PB15-20acc_X,False,5
PB20-25acc_X,True,1
PB25-30acc_X,False,44
PB30-35acc_X,False,53
PB35-40acc_X,False,49
PB40-45acc_X,True,1
PB45-50acc_X,False,25
PB0-5acc_Y,False,36
PB5-10acc_Y,True,1
PB10-15acc_Y,True,1
PB15-20acc_Y,True,1
PB20-25acc_Y,True,1
PB25-30acc_Y,False,54
PB30-35acc_Y,False,51
PB35-40acc_Y,False,48
PB40-45acc_Y,True,1
PB45-50acc_Y,False,12
PB0-5acc_Z,False,41
PB5-10acc_Z,False,29
PB10-15acc_Z,True,1
PB15-20acc_Z,False,20
PB20-25acc_Z,True,1
PB25-30acc_Z,False,55
PB30-35acc_Z,False,50
PB35-40acc_Z,False,56
PB40-45acc_Z,False,7
PB45-50acc_Z,False,22
PB0-5acc_xyz,True,1
PB5-10acc_xyz,False,42
PB10-15acc_xyz,False,32
PB15-20acc_xyz,False,46
PB20-25acc_xyz,False,21
PB25-30acc_xyz,False,57
PB30-35acc_xyz,False,52
PB35-40acc_xyz,False,59
PB40-45acc_xyz,False,45
PB45-50acc_xyz,False,58
FE_acc_X,False,38
FE_acc_Y,False,33
FE_acc_Z,False,43
FE_acc_xyz,False,37
En_acc_X,False,15
En_acc_Y,True,1
En_acc_Z,False,9
En_acc_xyz,False,2
