,False: dropped,featureImportances
mean_gyro_X,True,0.016526331174927737
mean_gyro_Y,False,0.005402449833387405
mean_gyro_Z,False,0.009114335407938264
max_gyro_X,True,0.01164628128232173
max_gyro_Y,False,0.006813228698770252
max_gyro_Z,True,0.019086164853540054
min_gyro_X,True,0.015858553823804303
min_gyro_Y,True,0.02049652857255143
min_gyro_Z,True,0.0233017537522592
var_gyro_X,False,0.008209027150811558
var_gyro_Y,True,0.010920263326465379
var_gyro_Z,True,0.025133412262548782
median_gyro_X,True,0.010607706724248421
median_gyro_Y,False,0.0053472722423899685
median_gyro_Z,False,0.006210671343122447
per25_gyro_X,True,0.06456379434499115
per25_gyro_Y,True,0.0622971546903978
per25_gyro_Z,True,0.013971131475260063
per75_gyro_X,True,0.010522953062753098
per75_gyro_Y,False,0.007772780520089158
per75_gyro_Z,True,0.01592714086693914
per_range_gyro_X,True,0.03328189960462688
per_range_gyro_Y,True,0.021607612805481947
per_range_gyro_Z,True,0.0791270598222991
RMS_gyro_X,False,0.009622987835528314
RMS_gyro_Y,False,0.00840946162776381
RMS_gyro_Z,True,0.02927036277164697
coef_gyro_xy,True,0.012460789505011012
coef_gyro_xz,True,0.013703619074333317
coef_gyro_yz,True,0.02458366754578826
PB0-5gyro_X,False,0.005149884178417108
PB5-10gyro_X,False,0.009907620374257887
PB10-15gyro_X,True,0.010204246886983803
PB15-20gyro_X,True,0.011072334133306888
PB20-25gyro_X,True,0.022754506162835864
PB25-30gyro_X,False,0.004910318750839722
PB30-35gyro_X,False,0.007750496364828634
PB35-40gyro_X,False,0.0050896508668758274
PB40-45gyro_X,True,0.024870688398769627
PB45-50gyro_X,False,0.009319565967307495
PB0-5gyro_Y,False,0.004432224610756779
PB5-10gyro_Y,False,0.007716372199910153
PB10-15gyro_Y,False,0.006118990830525441
PB15-20gyro_Y,False,0.005345464042639343
PB20-25gyro_Y,True,0.01742863745714356
PB25-30gyro_Y,False,0.005066749209224993
PB30-35gyro_Y,False,0.005625000824650063
PB35-40gyro_Y,False,0.006177264861681813
PB40-45gyro_Y,True,0.014244310855036605
PB45-50gyro_Y,False,0.004914978900338402
PB0-5gyro_Z,False,0.006767733395873975
PB5-10gyro_Z,False,0.009661346609464588
PB10-15gyro_Z,True,0.01540613421976206
PB15-20gyro_Z,True,0.01596378038595888
PB20-25gyro_Z,True,0.027140022170281053
PB25-30gyro_Z,False,0.004516815212969284
PB30-35gyro_Z,False,0.00596563442166476
PB35-40gyro_Z,False,0.004728958826825124
PB40-45gyro_Z,True,0.02793450083946222
PB45-50gyro_Z,True,0.022904021538281156
FE_gyro_X,False,0.005779761401655956
FE_gyro_Y,False,0.005474483291244295
FE_gyro_Z,False,0.004714340117165902
En_gyro_X,True,0.01055593406048661
En_gyro_Y,False,0.006680633281887994
En_gyro_Z,True,0.03591019834868921
