,False: dropped,featureImportances
mean_acc_X,TRUE,0.003956758
mean_acc_Y,FALSE,0.002695401
mean_acc_Z,TRUE,0.004308459
mean_gyro_X,TRUE,0.013234369
mean_gyro_Y,FALSE,0.002234279
mean_gyro_Z,TRUE,0.003556364
mean_acc_xyz,TRUE,0.005700719
max_acc_X,FALSE,0.002658609
max_acc_Y,FALSE,0.002456071
max_acc_Z,TRUE,0.006436596
max_gyro_X,TRUE,0.012461427
max_gyro_Y,FALSE,0.002655834
max_gyro_Z,TRUE,0.015952621
max_acc_xyz,TRUE,0.003840628
min_acc_X,TRUE,0.003476427
min_acc_Y,FALSE,0.002264049
min_acc_Z,FALSE,0.002898416
min_gyro_X,TRUE,0.026509097
min_gyro_Y,TRUE,0.035883321
min_gyro_Z,TRUE,0.003939401
min_acc_xyz,TRUE,0.003693122
var_acc_X,FALSE,0.002479577
var_acc_Y,TRUE,0.006151938
var_acc_Z,FALSE,0.003085629
var_gyro_X,TRUE,0.009041783
var_gyro_Y,TRUE,0.004151178
var_gyro_Z,TRUE,0.022627234
var_acc_xyz,FALSE,0.003279001
median_acc_X,TRUE,0.005422713
median_acc_Y,TRUE,0.003519635
median_acc_Z,TRUE,0.003392975
median_gyro_X,TRUE,0.004619994
median_gyro_Y,FALSE,0.002272441
median_gyro_Z,FALSE,0.002713932
median_acc_xyz,TRUE,0.003778932
per25_acc_X,TRUE,0.00546835
per25_acc_Y,FALSE,0.002775491
per25_acc_Z,FALSE,0.003061466
per25_gyro_X,TRUE,0.050483521
per25_gyro_Y,TRUE,0.024316316
per25_gyro_Z,TRUE,0.015937758
per25_acc_xyz,TRUE,0.003909378
per75_acc_X,FALSE,0.003153957
per75_acc_Y,FALSE,0.003131528
per75_acc_Z,FALSE,0.002811022
per75_gyro_X,TRUE,0.007117042
per75_gyro_Y,FALSE,0.003198204
per75_gyro_Z,TRUE,0.010263879
per75_acc_xyz,TRUE,0.006566786
per_range_acc_X,FALSE,0.003069235
per_range_acc_Y,TRUE,0.003431876
per_range_acc_Z,FALSE,0.003195524
per_range_gyro_X,TRUE,0.012672546
